Number,Name,Quantity,Cost,Price
255,زاوية فيبا فيوز 76.2م,261,25.29967292,25
260,رول  طراشه 1081 DOGRU,1881,4.08,11
262,رول تركي 1020,3,4.32306,12.5
330,فرد سلكون احمر ثقيل,0,4.934210526,10
269,ورق حف رول تمساح 120 اسود,5,51.22176559,60
436,"مجراد هايد 2""  copy",0,5,10
270,ورق حف رول تمساح 150 اسود,4,50.59343057,60
271,ورق حف رول تمساح 180 اسود,5,47.95811601,60
224,جلدة لازور يد بلاستيك اسود,0,5.08,15
272,"مجراد 2"" هايد",5,11,22
274,"مجراد 4"" هايد",19,20.62616988,27
275,"مجراد 5"" هايد",35,21.71175777,30
276,"مجراد 6"" هايد",14,23.77437476,33
277,"مجراد 8 "" هايد",1,40.24353045,50
278,"مجراد 10"" هايد",34,48.85145499,60
281,"تكنه 12""  XL",132,4.512857143,15
342,ورق حف  10م تمساح اسود 100,0,5.5,8
236,كمامة فلتر الماني,0,5.5,7.5
282,كييس دبل اسافين (1*1000),104,20,27
347,ورق حف  10م تمساح احمر 40,0,5.5,8
348,ورق حف  10م تسماح احمر 60,0,5.5,8
283,هربول ,363,3.2,4.5
284,ورق حف تمساح 60 احمر,3,59.94764501,65
287,زاويه صفرية 3م مع ورق L,350,6.16,10
288,ورق جبص 50م,199,2.69925,5
289,سوبر جلو 20 غم,62,6.5,10
292,ورق حف تمساح 40 احمر,2,45.57,65
349,ورق حف  10م تمساح احمر 80,0,5.9675,8
293,"سكتش 9"" االماني",3075,2.1,2.8
437,"مجراد هايد 3"" copy",0,6,12
296,ورق اسفنج 400,2,105,160
297,"تكنه  9""",26,2.45,6
298,حفافة تلسكوب بلاستيك,165,6.9008,12
385,"فرشاية 1.5"" بلوفا",0,6.293,8
300,"طقم 9""  Agron",1,9.52,18
301,زاوية بلاستيك 2.8م,1697,6.5,8
302,زاوي المنيوم صفريه 3 م,10918,2.3,6
303,زاوية 3م   U,6214,6.00552,15
320,فرد سلكون برتقالي جوده عاليه,1,12,18
322,مالج دبق مسنن,82,3.41,10
323,مشرط حديد رفيع,1370,0.6381,1.5
324,فرشاية طراشه 1406,108,11.9880728,15
325,مالج روبه 5*25  طلياني,180,21.99971558,25
328,طقم مصفاة دهان 2*1,4,10.99993128,15
73,"رول جومي 6""",0,7,12
353,كمامة مع فلتر ازرق  MS,0,7,10
219,تيب 5سم بلولين,0,7,7.85
335,فرشاية دهان  No. 1    Max,261,1.1399,1.5
178,لاصق بودره 125غم الماني,0,7.0525,15
336,فرشاية دهان   No.  1.5   Max,346,1.36,2.5
337,فرشاية دهان   No.   2   Max,7,2.04,3.5
261,رول تركي 1017 DOGRU,0,7.15,11
338,فرشاية دهان   No.   2.5   Max,189,2.9401,4.5
339,فرشاية دهان    No.   3   Max,2,3.62007,5.5
340,فرشاية دهان    No.   4  Max,161,4.08,6.5
341,ورق حف  10م تمساح اسود 80,45,5.5,8
343,ورق حف  10م تمساح اسود 120,58,7.534532581,10
237,مقص صاج,0,7.5,12
309,سبري صدأ  ATC,0,7.5,10
344,ورق حف  10م تمساح اسود 150,50,6.898890935,8
345,ورق حف  10م تمساح اسود 180 ,58,6.898890935,8
346,ورق حف  10م تمساح اسود 220,10,5.5,8
350,ورق حف  10م تمساح احمر 120,20,5.5,8
428,زاوية L مع ورق sheetrock,0,8,10
356,مشرط رول بلاستيك 12*1  MS,22,6.5,8.5
357,مالج عادي MS,188,5,9
358,شفرة تنظيف يد برتقالي MS,91,3,4
359,فارة جبص صغير,35,7,10
362,ورق فيبر 50م,329,4.56,8
363,فرشاية 3*7 بلوفا,12,26.59113687,32
364,فرشاية 3*10 بلوفا,20,30.38987071,36
365,فرشاية 3*12 بلوفا,22,32.56057576,40
366,سكتش  3m/ sayt,700,0.5,0.9
369,فرد سلكون معدني طبعة  ,40,9,14
380,راس مقدح مفرغا,195,0.6735598227,1.4
381,كمامة دسبوزبل,200,0.4,1
386,"فرشاية 2"" بلوفا",1,10.00046503,11
387,"فرشاية 2.5"" بلوفا",13,10.7415,15
215,سطل 12 لتر,0,9.3,18
391,"كباية  اسود 4""",21,6,9
447,سبري كلكل رش,0,9.5,12
392,"كباية اسود 6""",2,10,12
393,"كباية اسود 8""",2,13,16
117,مطبة ديكور اسفنج مدوره,0,9.7,25
394,"كباية ازرق 4""",4,22,28
226,فرشاية طراشة بير 100/9,0,9.9,15
440,"مجراد هايد 6"" copy",0,10,15
360,فارة جبص كبيره,0,10,12
